Player,height,weight,college,born,birth_city,birth_state,Geo_code,Latitude,Longitude
Arnett Moultrie,211,112,Mississippi State University,1990,Queens,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Kyle Singler,203,103,Duke University,1988,Medford,Oregon,"43.8041334, -120.5542012",43.8041334,-120.5542012
Jared Sullinger,206,117,Ohio State University,1992,Columbus,Ohio,"40.4172871, -82.90712300000001",40.4172871,-82.907123
Tyshawn Taylor,190,83,University of Kansas,1990,Hoboken,New Jersey,"40.0583238, -74.4056612",40.0583238,-74.4056612
Jarvis Varnado,206,104,Mississippi State University,1988,Fairfax,Virginia,"37.4315734, -78.6568942",37.4315734,-78.6568942
Tyler Zeller,213,114,University of North Carolina,1990,Visalia,California,"36.778261, -119.4179324",36.778261,-119.4179324
Vander Blue,193,90,Marquette University,1992,Milwaukee,Wisconsin,"43.7844397, -88.7878678",43.7844397,-88.7878678
Nick Calathes,198,96,University of Florida,1989,Casselberry,Florida,"27.6648274, -81.5157535",27.6648274,-81.5157535
Dionte Christmas,196,92,Temple University,1986,Philadelphia,Pennsylvania,"41.2033216, -77.1945247",41.2033216,-77.1945247
Brandon Davies,208,108,Brigham Young University,1991,Philadelphia,Pennsylvania,"41.2033216, -77.1945247",41.2033216,-77.1945247
Matthew Dellavedova,193,89,Saint Mary's College of California,1990,Maryborough,Australia,"-25.274398, 133.775136",-25.274398,133.775136
Jamaal Franklin,196,86,San Diego State University,1991,Moreno Valley,California,"36.778261, -119.4179324",36.778261,-119.4179324
Jorge Gutierrez,190,86,University of California,1988,Chihuahua,Mexico,"23.634501, -102.552784",23.634501,-102.552784
Ryan Kelly,211,104,Duke University,1991,Carmel,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Alex Len,216,117,University of Maryland,1993,Antratsit,Ukraine,"48.379433, 31.1655799",48.379433,31.1655799
Ben McLemore,196,88,University of Kansas,1993,St. Louis,Missouri,"37.9642529, -91.8318334",37.9642529,-91.8318334
Shabazz Muhammad,198,101,"University of California, Los Angeles",1992,Los Angeles,California,"36.778261, -119.4179324",36.778261,-119.4179324
Erik Murphy,208,104,University of Florida,1990,Lyon,France,"46.227638, 2.213749",46.227638,2.213749
Toure' Murry,196,88,Wichita State University,1989,Houston,Texas,"31.9685988, -99.9018131",31.9685988,-99.9018131
Victor Oladipo,193,95,Indiana University,1992,Silver Spring,Maryland,"39.0457549, -76.64127119999999",39.0457549,-76.6412712
Kelly Olynyk,213,107,Gonzaga University,1991,Toronto,Canada,"56.130366, -106.346771",56.130366,-106.346771
Mason Plumlee,211,111,Duke University,1990,Fort Wayne,Indiana,"40.2671941, -86.1349019",40.2671941,-86.1349019
Otto Porter,203,89,Georgetown University,1993,St. Louis,Missouri,"37.9642529, -91.8318334",37.9642529,-91.8318334
Adonis Thomas,201,90,University of Memphis,1993,Memphis,Tennessee,"35.5174913, -86.5804473",35.5174913,-86.5804473
Royce White,203,95,University of South Alabama,1959,Tuskegee,Alabama,"32.3182314, -86.902298",32.3182314,-86.902298
Jeff Withey,213,104,University of Kansas,1990,San Diego,California,"36.778261, -119.4179324",36.778261,-119.4179324
Tarik Black,206,113,University of Kansas,1991,Memphis,Tennessee,"35.5174913, -86.5804473",35.5174913,-86.5804473
Markel Brown,190,83,Murray State University,1974,West Memphis,Arkansas,"35.20105, -91.8318334",35.20105,-91.8318334
Will Cherry,183,83,University of Montana,1991,Oakland,California,"36.778261, -119.4179324",36.778261,-119.4179324
James Ennis,201,95,"California State University, Long Beach",1990,Ventura,California,"36.778261, -119.4179324",36.778261,-119.4179324
Aaron Gordon,206,99,University of Arizona,1995,San Jose,California,"36.778261, -119.4179324",36.778261,-119.4179324
Rodney Hood,203,93,Duke University,1992,Meridian,Mississippi,"32.3546679, -89.3985283",32.3546679,-89.3985283
Zach LaVine,196,85,"University of California, Los Angeles",1995,Renton,Washington,"47.7510741, -120.7401385",47.7510741,-120.7401385
Mitch McGary,208,115,University of Michigan,1992,Chesterton,Indiana,"40.2671941, -86.1349019",40.2671941,-86.1349019
Elijah Millsap,198,102,University of Alabama at Birmingham,1987,Grambling,Louisiana,"30.9842977, -91.96233269999999",30.9842977,-91.9623327
Shabazz Napier,185,79,University of Connecticut,1991,Roxbury,Massachusetts,"42.4072107, -71.3824374",42.4072107,-71.3824374
Adreian Payne,208,107,Michigan State University,1991,Dayton,Ohio,"40.4172871, -82.90712300000001",40.4172871,-82.907123
Elfrid Payton,193,83,University of Louisiana at Lafayette,1994,Gretna,Louisiana,"30.9842977, -91.96233269999999",30.9842977,-91.9623327
Julius Randle,206,113,University of Kentucky,1994,Dallas,Texas,"31.9685988, -99.9018131",31.9685988,-99.9018131
Russ Smith,183,74,University of Louisville,1991,New York,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Noah Vonleh,208,108,Indiana University,1995,Haverhill,Massachusetts,"42.4072107, -71.3824374",42.4072107,-71.3824374
Travis Wear,208,104,"University of California, Los Angeles",1990,Long Beach,California,"36.778261, -119.4179324",36.778261,-119.4179324
Andrew Wiggins,203,90,University of Kansas,1995,Toronto,Canada,"56.130366, -106.346771",56.130366,-106.346771
Coty Clarke,201,105,University of Arkansas,1992,Antioch,Tennessee,"35.5174913, -86.5804473",35.5174913,-86.5804473
Pat Connaughton,196,93,University of Notre Dame,1993,Arlington,Massachusetts,"42.4072107, -71.3824374",42.4072107,-71.3824374
Duje Dukan,206,99,University of Wisconsin,1991,Split,Croatia,"45.1, 15.2000001",45.1,15.2000001
Montrezl Harrell,203,108,University of Louisville,1994,Tarboro,North Carolina,"35.7595731, -79.01929969999999",35.7595731,-79.0192997
Darrun Hilliard,198,92,Villanova University,1993,Bethlehem,Pennsylvania,"41.2033216, -77.1945247",41.2033216,-77.1945247
Stanley Johnson,203,99,Murray State University,1944,Clairton,Pennsylvania,"41.2033216, -77.1945247",41.2033216,-77.1945247
Sasha Kaun,211,117,University of Kansas,1985,Tomsk,Russia,"61.52401, 105.318756",61.52401,105.318756
Jarell Martin,208,108,Louisiana State University,1994,Baton Rouge,Louisiana,"30.9842977, -91.96233269999999",30.9842977,-91.9623327
Chris McCullough,211,90,Syracuse University,1995,Bronx,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Jordan McRae,198,83,University of Tennessee,1991,Savannah,Georgia,"32.1656221, -82.9000751",32.1656221,-82.9000751
